osmid,y,x,street_count,highway,geometry
770347,-35.2034035,149.206543,3,motorway_junction,POINT (149.206543 -35.2034035)
770350,-35.1997498,149.2144464,3,,POINT (149.2144464 -35.1997498)
770373,-35.1814362,149.2513817,3,motorway_junction,POINT (149.2513817 -35.1814362)
7987009,-35.2488817,149.1409395,4,,POINT (149.1409395 -35.2488817)
7987066,-35.2511209,149.1402942,3,,POINT (149.1402942 -35.2511209)
7987116,-35.2583573,149.1405785,4,,POINT (149.1405785 -35.2583573)
7987163,-35.2632837,149.1416881,3,,POINT (149.1416881 -35.2632837)
7987164,-35.2639115,149.1413631,3,,POINT (149.1413631 -35.2639115)
7987167,-35.2653022,149.1388177,3,,POINT (149.1388177 -35.2653022)
7987168,-35.265634,149.1379631,4,,POINT (149.1379631 -35.265634)
7987179,-35.2662289,149.1364616,3,,POINT (149.1364616 -35.2662289)
7987185,-35.2663787,149.1325995,4,,POINT (149.1325995 -35.2663787)
7987186,-35.2662176,149.1314212,4,,POINT (149.1314212 -35.2662176)
7987248,-35.2517975,149.1399144,3,,POINT (149.1399144 -35.2517975)
7987672,-35.2563966,149.1393169,3,,POINT (149.1393169 -35.2563966)
7987823,-35.2535186,149.1485811,3,,POINT (149.1485811 -35.2535186)
7987862,-35.2504196,149.1555598,4,,POINT (149.1555598 -35.2504196)
7987867,-35.2532719,149.1600539,3,,POINT (149.1600539 -35.2532719)
7988006,-35.2597093,149.1365095,3,,POINT (149.1365095 -35.2597093)
7988012,-35.2610051,149.1363689,4,,POINT (149.1363689 -35.2610051)
7988081,-35.2645815,149.1368632,4,,POINT (149.1368632 -35.2645815)
7988461,-35.2479825,149.1317998,4,,POINT (149.1317998 -35.2479825)
7988477,-35.2482495,149.1339422,4,,POINT (149.1339422 -35.2482495)
7988478,-35.2482833,149.1342779,4,,POINT (149.1342779 -35.2482833)
7988488,-35.2485405,149.136673,3,,POINT (149.136673 -35.2485405)
7988537,-35.2484893,149.146214,4,,POINT (149.146214 -35.2484893)
7988544,-35.2483687,149.1472671,3,,POINT (149.1472671 -35.2483687)
7988567,-35.247912,149.1512461,3,,POINT (149.1512461 -35.247912)
7988761,-35.2472853,149.1538878,3,,POINT (149.1538878 -35.2472853)
7988769,-35.2468731,149.1538465,3,,POINT (149.1538465 -35.2468731)
7988777,-35.2468006,149.1542454,3,,POINT (149.1542454 -35.2468006)
7988836,-35.2478065,149.1512286,4,,POINT (149.1512286 -35.2478065)
7988988,-35.2482654,149.1472502,4,,POINT (149.1472502 -35.2482654)
7988991,-35.2483866,149.1461952,3,,POINT (149.1461952 -35.2483866)
7989198,-35.24878,149.1409327,3,,POINT (149.1409327 -35.24878)
12474535,-35.220106,149.1366374,4,,POINT (149.1366374 -35.220106)
12474538,-35.2204179,149.1389172,4,,POINT (149.1389172 -35.2204179)
12474539,-35.2204893,149.1394388,4,,POINT (149.1394388 -35.2204893)
12474540,-35.2206405,149.1405446,4,,POINT (149.1405446 -35.2206405)
12474541,-35.2207951,149.1416744,4,,POINT (149.1416744 -35.2207951)
12474543,-35.220867,149.1421998,4,,POINT (149.1421998 -35.220867)
12474546,-35.2210159,149.1432884,4,,POINT (149.1432884 -35.2210159)
12474550,-35.2211993,149.1447,4,,POINT (149.1447 -35.2211993)
12474552,-35.2178969,149.138255,3,,POINT (149.138255 -35.2178969)
12474553,-35.2151617,149.1387878,4,,POINT (149.1387878 -35.2151617)
12474554,-35.2150089,149.1376408,4,,POINT (149.1376408 -35.2150089)
12474556,-35.215312,149.1399176,4,,POINT (149.1399176 -35.215312)
12474560,-35.21538,149.1404278,4,,POINT (149.1404278 -35.21538)
12474563,-35.2155274,149.1415344,4,,POINT (149.1415344 -35.2155274)
12474566,-35.2159989,149.1455275,6,,POINT (149.1455275 -35.2159989)
12474567,-35.2168501,149.1384589,3,,POINT (149.1384589 -35.2168501)
12474568,-35.2156766,149.1426554,5,,POINT (149.1426554 -35.2156766)
12474569,-35.2157497,149.1432038,4,,POINT (149.1432038 -35.2157497)
12474572,-35.2158958,149.1443009,4,,POINT (149.1443009 -35.2158958)
12474574,-35.2186393,149.1437584,3,,POINT (149.1437584 -35.2186393)
12474608,-35.2187281,149.1420647,3,,POINT (149.1420647 -35.2187281)
12474623,-35.217516,149.1428493,3,,POINT (149.1428493 -35.217516)
12474644,-35.2174769,149.1411637,3,,POINT (149.1411637 -35.2174769)
12474648,-35.2181157,149.1411079,3,,POINT (149.1411079 -35.2181157)
12474658,-35.2184221,149.1421225,3,,POINT (149.1421225 -35.2184221)
12474661,-35.2184921,149.14265,3,,POINT (149.14265 -35.2184921)
12474671,-35.2212187,149.1449615,4,,POINT (149.1449615 -35.2212187)
12474685,-35.2171195,149.1453643,3,,POINT (149.1453643 -35.2171195)
12474696,-35.2361499,149.1436794,4,,POINT (149.1436794 -35.2361499)
12511025,-35.2459336,149.1615231,3,,POINT (149.1615231 -35.2459336)
12511027,-35.2467532,149.1603664,3,,POINT (149.1603664 -35.2467532)
12511031,-35.2471321,149.1584698,3,,POINT (149.1584698 -35.2471321)
12511037,-35.2474771,149.1575907,3,,POINT (149.1575907 -35.2474771)
12511043,-35.2488551,149.1566942,3,,POINT (149.1566942 -35.2488551)
12511047,-35.2494204,149.1566432,3,,POINT (149.1566432 -35.2494204)
12511048,-35.249844,149.1567215,3,,POINT (149.1567215 -35.249844)
12511053,-35.2502704,149.1569934,3,,POINT (149.1569934 -35.2502704)
12511065,-35.2511322,149.1585295,3,,POINT (149.1585295 -35.2511322)
12511075,-35.2504139,149.1610325,3,,POINT (149.1610325 -35.2504139)
12511078,-35.250017,149.1618745,3,,POINT (149.1618745 -35.250017)
12511080,-35.2498302,149.1626302,3,,POINT (149.1626302 -35.2498302)
12511083,-35.2495361,149.1638197,4,,POINT (149.1638197 -35.2495361)
12511084,-35.2495095,149.1639335,3,,POINT (149.1639335 -35.2495095)
12511086,-35.2486299,149.1634965,3,,POINT (149.1634965 -35.2486299)
12511091,-35.24734,149.1630696,3,,POINT (149.1630696 -35.24734)
12511096,-35.2472458,149.1630134,3,,POINT (149.1630134 -35.2472458)
12511099,-35.2469352,149.1627162,3,,POINT (149.1627162 -35.2469352)
12511101,-35.2450259,149.1604419,3,,POINT (149.1604419 -35.2450259)
12511102,-35.2442026,149.159495,3,,POINT (149.159495 -35.2442026)
12511146,-35.2505229,149.1640434,3,,POINT (149.1640434 -35.2505229)
12511154,-35.2507304,149.1639618,3,,POINT (149.1639618 -35.2507304)
12511168,-35.2521877,149.1618409,3,,POINT (149.1618409 -35.2521877)
12511173,-35.2529352,149.1604699,3,,POINT (149.1604699 -35.2529352)
12511178,-35.2510087,149.1649465,3,,POINT (149.1649465 -35.2510087)
12511189,-35.2519118,149.1641609,1,turning_circle,POINT (149.1641609 -35.2519118)
12511200,-35.2476708,149.1543894,3,,POINT (149.1543894 -35.2476708)
12511208,-35.2497999,149.1551873,3,,POINT (149.1551873 -35.2497999)
12511213,-35.2503544,149.1554928,4,,POINT (149.1554928 -35.2503544)
12511219,-35.2467851,149.1548212,3,,POINT (149.1548212 -35.2467851)
12511227,-35.2465275,149.1557059,3,,POINT (149.1557059 -35.2465275)
12511231,-35.2462797,149.1565213,3,,POINT (149.1565213 -35.2462797)
12511236,-35.2456326,149.1576972,4,,POINT (149.1576972 -35.2456326)
12511244,-35.2437763,149.1600838,3,,POINT (149.1600838 -35.2437763)
12511251,-35.2413974,149.1630128,3,,POINT (149.1630128 -35.2413974)
12511254,-35.2433195,149.1596617,3,,POINT (149.1596617 -35.2433195)
12511259,-35.2421339,149.1582538,3,,POINT (149.1582538 -35.2421339)
12511263,-35.2556832,149.1602899,3,,POINT (149.1602899 -35.2556832)
12511271,-35.2553739,149.1623093,3,,POINT (149.1623093 -35.2553739)
12511272,-35.254955,149.162088,3,,POINT (149.162088 -35.254955)
12511273,-35.255707,149.1624841,3,,POINT (149.1624841 -35.255707)
12511288,-35.25619,149.1644431,3,,POINT (149.1644431 -35.25619)
12511293,-35.2557105,149.1654078,3,,POINT (149.1654078 -35.2557105)
12511297,-35.2555734,149.1639196,1,turning_circle,POINT (149.1639196 -35.2555734)
12511300,-35.2555641,149.1629567,1,turning_circle,POINT (149.1629567 -35.2555641)
12511306,-35.254681,149.1628366,3,,POINT (149.1628366 -35.254681)
12511311,-35.25466,149.1637464,3,,POINT (149.1637464 -35.25466)
12511323,-35.2528245,149.1623161,3,,POINT (149.1623161 -35.2528245)
12511327,-35.2537377,149.1621555,3,,POINT (149.1621555 -35.2537377)
12511337,-35.2533984,149.1613688,1,turning_circle,POINT (149.1613688 -35.2533984)
12511347,-35.2523534,149.1633498,1,turning_circle,POINT (149.1633498 -35.2523534)
12511355,-35.254676,149.1658884,3,,POINT (149.1658884 -35.254676)
12511361,-35.2539896,149.1663417,3,,POINT (149.1663417 -35.2539896)
12511365,-35.2533277,149.1668173,3,,POINT (149.1668173 -35.2533277)
12511367,-35.252527,149.1673832,3,,POINT (149.1673832 -35.252527)
12511376,-35.251594,149.167881,3,,POINT (149.167881 -35.251594)
12511453,-35.2493918,149.1670093,3,,POINT (149.1670093 -35.2493918)
12511454,-35.2486709,149.1666792,3,,POINT (149.1666792 -35.2486709)
12511455,-35.2479353,149.1663566,3,,POINT (149.1663566 -35.2479353)
12511458,-35.2489016,149.1657229,3,,POINT (149.1657229 -35.2489016)
12511465,-35.2482819,149.1649196,3,,POINT (149.1649196 -35.2482819)
12511468,-35.2476642,149.166904,3,,POINT (149.166904 -35.2476642)
12511469,-35.2472417,149.1674731,3,,POINT (149.1674731 -35.2472417)
12511492,-35.2444217,149.1662946,3,,POINT (149.1662946 -35.2444217)
12511508,-35.2428985,149.1659781,3,,POINT (149.1659781 -35.2428985)
12511513,-35.2422501,149.1651007,3,,POINT (149.1651007 -35.2422501)
12511519,-35.2421748,149.1646078,3,,POINT (149.1646078 -35.2421748)
12511526,-35.2423234,149.163913,3,,POINT (149.163913 -35.2423234)
12511529,-35.243393,149.1624814,3,,POINT (149.1624814 -35.243393)
12511530,-35.2439378,149.161801,3,,POINT (149.161801 -35.2439378)
12511531,-35.2444719,149.1611339,3,,POINT (149.1611339 -35.2444719)
12549090,-35.241812,149.1503183,3,,POINT (149.1503183 -35.241812)
12549107,-35.2417329,149.1504242,4,,POINT (149.1504242 -35.2417329)
12549115,-35.2361996,149.1435914,4,,POINT (149.1435914 -35.2361996)
12549118,-35.2343113,149.145901,4,,POINT (149.145901 -35.2343113)
12549119,-35.2342698,149.1459632,4,,POINT (149.1459632 -35.2342698)
12549142,-35.2341189,149.1457063,3,,POINT (149.1457063 -35.2341189)
12549152,-35.2338878,149.1455589,3,,POINT (149.1455589 -35.2338878)
12549158,-35.2277557,149.1443246,3,,POINT (149.1443246 -35.2277557)
12549203,-35.2151769,149.1461458,3,,POINT (149.1461458 -35.2151769)
12549216,-35.2111268,149.14704,3,,POINT (149.14704 -35.2111268)
12549220,-35.1910938,149.1515504,3,,POINT (149.1515504 -35.1910938)
12549237,-35.1878987,149.1490233,4,,POINT (149.1490233 -35.1878987)
12549257,-35.1850896,149.1323834,3,,POINT (149.1323834 -35.1850896)
12549263,-35.1844778,149.1285692,3,,POINT (149.1285692 -35.1844778)
12549266,-35.1841818,149.1280978,3,,POINT (149.1280978 -35.1841818)
12549281,-35.1839849,149.1264605,3,,POINT (149.1264605 -35.1839849)
12549288,-35.1833141,149.1260485,3,,POINT (149.1260485 -35.1833141)
12549289,-35.2304384,149.1518111,4,,POINT (149.1518111 -35.2304384)
12549290,-35.2318262,149.1537804,4,,POINT (149.1537804 -35.2318262)
12549297,-35.2364715,149.1516889,3,,POINT (149.1516889 -35.2364715)
12549301,-35.2396285,149.1558122,3,,POINT (149.1558122 -35.2396285)
12549303,-35.2358571,149.1515271,3,,POINT (149.1515271 -35.2358571)
12549324,-35.2337774,149.1663448,3,,POINT (149.1663448 -35.2337774)
12549335,-35.225171,149.1653956,3,,POINT (149.1653956 -35.225171)
12549336,-35.2243377,149.1652493,3,,POINT (149.1652493 -35.2243377)
12549338,-35.2248758,149.1654097,3,,POINT (149.1654097 -35.2248758)
12549341,-35.224969,149.1651707,3,,POINT (149.1651707 -35.224969)
12549343,-35.2244721,149.1647945,3,,POINT (149.1647945 -35.2244721)
12549346,-35.2398719,149.1649189,3,,POINT (149.1649189 -35.2398719)
12628032,-35.2481455,149.1654852,3,,POINT (149.1654852 -35.2481455)
12628036,-35.2483656,149.1645723,3,,POINT (149.1645723 -35.2483656)
12628037,-35.2439135,149.1630783,3,,POINT (149.1630783 -35.2439135)
12628148,-35.2453335,149.1667162,3,,POINT (149.1667162 -35.2453335)
12628159,-35.2434256,149.1640009,1,,POINT (149.1640009 -35.2434256)
12628162,-35.2467748,149.1629205,3,,POINT (149.1629205 -35.2467748)
12657736,-35.1831231,149.1261532,3,,POINT (149.1261532 -35.1831231)
12657738,-35.1860143,149.1200471,3,,POINT (149.1200471 -35.1860143)
12657776,-35.1965264,149.1090166,3,,POINT (149.1090166 -35.1965264)
12657777,-35.1954643,149.1077167,3,,POINT (149.1077167 -35.1954643)
12657802,-35.2011453,149.0975334,3,,POINT (149.0975334 -35.2011453)
12657809,-35.2017622,149.0949277,4,,POINT (149.0949277 -35.2017622)
12675542,-35.222396,149.0695328,3,,POINT (149.0695328 -35.222396)
12675548,-35.2250993,149.0739468,3,,POINT (149.0739468 -35.2250993)
12675549,-35.2261784,149.0746494,3,,POINT (149.0746494 -35.2261784)
12675599,-35.2346511,149.0918708,4,,POINT (149.0918708 -35.2346511)
12675606,-35.2349595,149.0939556,3,,POINT (149.0939556 -35.2349595)
12675642,-35.2396978,149.1037219,3,,POINT (149.1037219 -35.2396978)
12675663,-35.2428422,149.1095556,3,,POINT (149.1095556 -35.2428422)
12675697,-35.2428169,149.1267103,4,,POINT (149.1267103 -35.2428169)
12675705,-35.223111,149.0714779,3,,POINT (149.0714779 -35.223111)
12675711,-35.2312548,149.0815432,3,,POINT (149.0815432 -35.2312548)
12675729,-35.2335911,149.087015,3,,POINT (149.087015 -35.2335911)
12675730,-35.2339748,149.0878788,3,,POINT (149.0878788 -35.2339748)
