fid,osmid,osmid_nodo_origen,osmid_nodo_destino,key,highway,oneway,length,geometry,name,lanes,maxspeed
0,"[23153986, 23153987, 4804157]",26759389,26759506,0,living_street,False,116.18199999999999,"LINESTRING (13.2129683 52.5385729, 13.2129468 52.5386608, 13.2129221 52.5387244, 13.2129073 52.5387606, 13.2127768 52.5390074, 13.2127342 52.5391135, 13.2127092 52.5391972, 13.2127089 52.5393066, 13.2127089 52.539327, 13.2127276 52.5394108, 13.2127251 52.5394883, 13.2126997 52.5395951)","['Zitadellenbrücke', 'Am Juliusturm']",,
1,"[4553965, 404955693, 4553964, 330951949]",26759389,26759638,0,secondary,True,374.078,"LINESTRING (13.2129683 52.5385729, 13.2127131 52.53856, 13.2120855 52.5385012, 13.2114055 52.5384365, 13.2111186 52.5384115, 13.2109642 52.538404, 13.2108222 52.5384021, 13.2106844 52.5384051, 13.2105554 52.53841, 13.2104537 52.5384169, 13.2103043 52.5384317, 13.2087588 52.5385977, 13.2085807 52.5386182, 13.20843 52.5386407, 13.208334 52.5386579, 13.2082371 52.5386777, 13.2080913 52.5387135, 13.2079239 52.5387637, 13.2077369 52.5388304, 13.2077019 52.5388445, 13.2075873 52.538886)",Am Juliusturm,"['2', '3']",50
2,"[23153986, 23153987, 4804157]",26759506,26759389,0,living_street,False,116.182,"LINESTRING (13.2126997 52.5395951, 13.2127251 52.5394883, 13.2127276 52.5394108, 13.2127089 52.539327, 13.2127089 52.5393066, 13.2127092 52.5391972, 13.2127342 52.5391135, 13.2127768 52.5390074, 13.2129073 52.5387606, 13.2129221 52.5387244, 13.2129468 52.5386608, 13.2129683 52.5385729)","['Zitadellenbrücke', 'Am Juliusturm']",,
3,24453340,26759638,26759652,0,residential,False,13.817,"LINESTRING (13.2075873 52.538886, 13.2074854 52.5387783)",Breite Straße,,
4,"[404955692, 48273133]",26759638,26759676,0,secondary,True,154.312,"LINESTRING (13.2075873 52.538886, 13.2065796 52.5392571, 13.2061655 52.539408, 13.2058728 52.5395141, 13.205822 52.5395325, 13.2057765 52.539549, 13.2056318 52.539601)",Am Juliusturm,"['3', '4']",50
5,24453340,26759652,26759638,0,residential,False,13.817,"LINESTRING (13.2074854 52.5387783, 13.2075873 52.538886)",Breite Straße,,
6,"[24970402, 5095372, 24969047, 500229566, 500229567]",26759652,34781293,0,"['living_street', 'residential']",False,253.29300000000003,"LINESTRING (13.2074854 52.5387783, 13.2074368 52.5387155, 13.2074146 52.5386904, 13.2073459 52.5386249, 13.2072132 52.5385186, 13.2075617 52.5383883, 13.2078494 52.5382694, 13.2082461 52.5381275, 13.2082725 52.5380976, 13.2082865 52.538063, 13.2082403 52.5380026, 13.2081219 52.5378526, 13.207823 52.5375011, 13.2076305 52.5372959, 13.2075746 52.5372426, 13.2074677 52.537125, 13.2074135 52.5370897, 13.2073675 52.5370506)","['Hertefeldstraße', 'Breite Straße', 'Lindenufer']",,
7,25068094,26759655,26759676,0,residential,False,13.639,"LINESTRING (13.2055228 52.5394978, 13.2056318 52.539601)",Hoher Steinweg,,50
8,61389770,26759655,26759652,0,secondary,True,154.981,"LINESTRING (13.2055228 52.5394978, 13.2056733 52.5394434, 13.2059275 52.5393491, 13.2063466 52.5391957, 13.2070103 52.5389525, 13.2071208 52.5389129, 13.2071544 52.5389003, 13.2072776 52.5388542, 13.2074854 52.5387783)",Am Juliusturm,3,50
9,"[61389770, 982221220, 61389773, 4553966]",26759657,26759655,0,secondary,True,149.04000000000002,"LINESTRING (13.2034686 52.5399455, 13.2036706 52.5399256, 13.2038652 52.5399093, 13.2039235 52.5399041, 13.203953 52.5399015, 13.2039994 52.5398955, 13.2041168 52.5398803, 13.2043154 52.5398481, 13.2044921 52.5398116, 13.2047415 52.5397516, 13.2050231 52.539668, 13.2053445 52.5395615, 13.2054069 52.5395392, 13.2055228 52.5394978)",Am Juliusturm,3,50
10,37535101,26759657,8977971390,0,secondary,True,67.73700000000001,"LINESTRING (13.2034686 52.5399455, 13.2035926 52.5399642, 13.2037065 52.5399866, 13.2038365 52.5400287, 13.2039132 52.5400663, 13.2039665 52.5401046, 13.204011 52.5401416, 13.2040498 52.540181, 13.2040846 52.5402383, 13.2041069 52.5402897, 13.2041144 52.5403425)",Falkenseer Platz,4,50
11,57387201,26759659,26759661,0,secondary,True,66.019,"LINESTRING (13.2040976 52.5404486, 13.204059 52.5405279, 13.2040235 52.5405843, 13.2039664 52.5406481, 13.2038904 52.5407028, 13.2037778 52.5407569, 13.2036904 52.5407846, 13.2036038 52.5408027, 13.2034991 52.5408169, 13.2034366 52.540821)",Falkenseer Platz,4,50
12,"[982221218, 4797965]",26759659,26759691,0,secondary,True,171.528,"LINESTRING (13.2040976 52.5404486, 13.2042363 52.5406581, 13.2042613 52.5406891, 13.2043041 52.5407291, 13.2043801 52.5407981, 13.2044568 52.5408551, 13.2045262 52.5409007, 13.205327 52.5413827, 13.2054653 52.541472, 13.2055799 52.5415558, 13.2056855 52.5416308)",Neuendorfer Straße,3,50
13,57387371,26759661,26759663,0,secondary,True,13.841000000000001,"LINESTRING (13.2034366 52.540821, 13.2033346 52.5408246, 13.2032322 52.5408221)",Falkenseer Platz,5,50
14,57387200,26759663,26759664,0,secondary,True,66.005,"LINESTRING (13.2032322 52.5408221, 13.2031098 52.540806, 13.2030005 52.5407809, 13.2028929 52.5407448, 13.2027752 52.5406871, 13.2026634 52.540591, 13.2026096 52.5405193, 13.2025735 52.5404391)",Falkenseer Platz,4,50
15,"[1327225698, 1327225699, 1327225700, 1327225701, 982221222, 982221225]",26759663,30784086,0,secondary,True,398.471,"LINESTRING (13.2032322 52.5408221, 13.203006 52.540838, 13.202796 52.5408594, 13.2027389 52.5408674, 13.2026557 52.5408806, 13.2024465 52.5409238, 13.2022393 52.5409737, 13.2020298 52.5410388, 13.201856 52.5411081, 13.2017409 52.5411541, 13.2015222 52.5412582, 13.2013731 52.5413291, 13.2012111 52.5414101, 13.2010119 52.5415096, 13.2009718 52.5415308, 13.2003515 52.5418586, 13.1993303 52.5424676, 13.1987729 52.542811, 13.1987281 52.5428387, 13.1985978 52.542919)",Falkenseer Damm,3,50
16,57387247,26759664,26759665,0,secondary,True,16.957,"LINESTRING (13.2025735 52.5404391, 13.2025741 52.5403635, 13.2025899 52.5402872)",Falkenseer Platz,4,50
17,4453034,26759665,26759713,0,secondary,True,229.524,"LINESTRING (13.2025899 52.5402872, 13.2025494 52.5401863, 13.2025025 52.5400992, 13.2024841 52.5400787, 13.2024382 52.5400292, 13.2024086 52.5400053, 13.2022935 52.5399237, 13.2019576 52.5397108, 13.201631 52.5395232, 13.2013883 52.5393782, 13.2010478 52.5391308, 13.2008396 52.5389179, 13.2007372 52.538804, 13.2007162 52.5387749, 13.2006199 52.5386435)",Altstädter Ring,4,50
18,57387199,26759665,26759668,0,secondary,True,62.78900000000001,"LINESTRING (13.2025899 52.5402872, 13.2026599 52.5401933, 13.20273 52.5401177, 13.2028312 52.540045, 13.2029118 52.5400027, 13.2029727 52.5399837, 13.2030342 52.5399667, 13.2031333 52.5399511, 13.2032471 52.5399421)",Falkenseer Platz,4,50
19,57387202,26759668,26759657,0,secondary,True,14.992,"LINESTRING (13.2032471 52.5399421, 13.2033716 52.5399419, 13.2034686 52.5399455)",Falkenseer Platz,5,50
20,25068094,26759676,26759655,0,residential,False,13.639,"LINESTRING (13.2056318 52.539601, 13.2055228 52.5394978)",Hoher Steinweg,,50
21,"[970172851, 61389772, 61389771, 36513903]",26759676,8977971390,0,secondary,True,134.366,"LINESTRING (13.2056318 52.539601, 13.2055089 52.5396461, 13.2052541 52.539737, 13.20492 52.5398587, 13.204667 52.5399523, 13.2045416 52.5400011, 13.2044324 52.5400593, 13.204347 52.5401088, 13.2043009 52.5401457, 13.2042423 52.5401963, 13.2041854 52.5402586, 13.2041144 52.5403425)",Am Juliusturm,"['5', '4']",50
22,"[176374881, 894604698, 12817581, 176374879]",26759676,249699645,0,residential,False,127.44800000000001,"LINESTRING (13.2056318 52.539601, 13.2056951 52.5396666, 13.2057155 52.539704, 13.2057294 52.5397407, 13.2057426 52.5397865, 13.2057578 52.5398157, 13.2057718 52.5398374, 13.2057983 52.5398509, 13.2059092 52.5398608, 13.2063169 52.5398798, 13.2069659 52.5398955, 13.2071036 52.5399173, 13.2072195 52.5399367)","['Hoher Steinweg', 'Möllentordamm']",,"['30', '50']"
23,6074344,26759691,26759692,0,residential,False,17.423,"LINESTRING (13.2056855 52.5416308, 13.20548 52.5417253)",Bismarckstraße,,50
24,"[48273132, 1327602870]",26759691,12097775155,0,secondary,True,110.855,"LINESTRING (13.2056855 52.5416308, 13.2057819 52.541718, 13.2059129 52.5418521, 13.2059829 52.5419386, 13.2060553 52.54204, 13.2061152 52.5421456, 13.2061394 52.5421891, 13.2061983 52.5423113, 13.2062525 52.5424535, 13.2062755 52.5425505)",Neuendorfer Straße,3,50
25,6074344,26759692,26759691,0,residential,False,17.423,"LINESTRING (13.20548 52.5417253, 13.2056855 52.5416308)",Bismarckstraße,,50
26,"[261844132, 1327522606, 1315882911]",26759692,34440770,0,residential,False,193.48999999999998,"LINESTRING (13.20548 52.5417253, 13.2054036 52.5417573, 13.2053709 52.5417713, 13.2052194 52.541843, 13.2051261 52.5418793, 13.2050003 52.5419196, 13.204956 52.5419341, 13.2048783 52.5419429, 13.204551 52.5420464, 13.2044412 52.5420811, 13.2042207 52.5421508, 13.2037791 52.5422905, 13.2036307 52.5423375, 13.2030868 52.5425095, 13.2029672 52.5425475)",Bismarckstraße,,30
27,"[332573585, 982221219, 1007366759]",26759692,26759661,0,secondary,True,175.098,"LINESTRING (13.20548 52.5417253, 13.2053891 52.5416531, 13.2051696 52.5415011, 13.2047624 52.5412563, 13.204569 52.5411369, 13.2044803 52.5410901, 13.204399 52.5410542, 13.2042979 52.5410154, 13.2041174 52.5409593, 13.203981 52.5409231, 13.2039144 52.5409078, 13.2037536 52.5408777, 13.2035862 52.5408492, 13.2034366 52.540821)",Neuendorfer Straße,"['3', '5']",50
28,6074345,26759713,26759714,0,tertiary,False,13.87,"LINESTRING (13.2006199 52.5386435, 13.2008012 52.5385852)",Moritzstraße,,50
29,"[1327522592, 4804146, 1327522591, 1327522583]",26759713,3966408803,0,tertiary,False,110.375,"LINESTRING (13.2006199 52.5386435, 13.2004841 52.53869, 13.2004354 52.5387067, 13.2004003 52.5387187, 13.2002271 52.538778, 13.2000485 52.5388392, 13.2000337 52.5388443, 13.1999168 52.5388843, 13.1996768 52.5389665, 13.1996197 52.538986, 13.1991978 52.5391305)",Moritzstraße,2,50
30,"[462624002, 395497859, 925962765, 461390639, 399095631, 100100954]",26759713,26759725,0,secondary,True,439.57,"LINESTRING (13.2006199 52.5386435, 13.200555 52.5385372, 13.2005339 52.5385022, 13.2004484 52.5383268, 13.2004039 52.5382001, 13.2003179 52.5378049, 13.2002724 52.5370982, 13.2002313 52.5368671, 13.2001545 52.5364908, 13.1999444 52.5358761, 13.1998645 52.5356424, 13.1998381 52.535567, 13.1997617 52.5354076, 13.1996446 52.5351672, 13.1995564 52.5349878, 13.1995351 52.5349529, 13.1995049 52.534901, 13.1994869 52.5348698, 13.1994726 52.5348491, 13.1994324 52.5347761)",Altstädter Ring,"['3', '5', '4']",50
31,6074345,26759714,26759713,0,tertiary,False,13.87,"LINESTRING (13.2008012 52.5385852, 13.2006199 52.5386435)",Moritzstraße,,50
32,"[4804152, 23153823, 23153824, 1327522575]",26759714,34779097,0,residential,False,77.91600000000001,"LINESTRING (13.2008012 52.5385852, 13.2009961 52.5385162, 13.2010419 52.5384996, 13.2011707 52.5384538, 13.2013511 52.5383697, 13.2014411 52.5383343, 13.2016105 52.5382748, 13.2017803 52.5382178)",Moritzstraße,,30
33,"[332573582, 25394870, 33066934, 25394871]",26759714,26759668,0,secondary,True,230.96900000000002,"LINESTRING (13.2008012 52.5385852, 13.2008923 52.5387048, 13.2009226 52.5387439, 13.2012303 52.5390594, 13.2017786 52.5394168, 13.2021258 52.5395939, 13.2022795 52.5396635, 13.202437 52.5397275, 13.2025775 52.5397765, 13.2027289 52.5398256, 13.2027914 52.5398438, 13.2029383 52.5398776, 13.2032471 52.5399421)",Altstädter Ring,"['5', '4']",50
34,33066932,26759723,26759724,0,tertiary,False,18.199,"LINESTRING (13.1985125 52.5397099, 13.1983707 52.5395708)",Galenstraße,,50
35,"[1327554885, 1327554886, 4804143, 4804144, 1327522579, 1327522580, 1327522581]",26759723,30784491,0,residential,False,322.693,"LINESTRING (13.1985125 52.5397099, 13.1985349 52.5397319, 13.1985793 52.5397691, 13.1986733 52.539851, 13.1987613 52.5399213, 13.1989219 52.5400379, 13.1991501 52.5402036, 13.1997149 52.5406095, 13.199953 52.5407805, 13.2000045 52.5408176, 13.2002406 52.5409872, 13.2003324 52.5410532, 13.2004007 52.5411023, 13.2004682 52.5411507, 13.2004832 52.5411759, 13.2004671 52.5411976, 13.2003811 52.5412688, 13.1993395 52.5418995)","['Roonstraße', 'Galenstraße']",,30
36,"[33066931, 1327554806]",26759723,30784496,0,residential,True,122.006,"LINESTRING (13.1985125 52.5397099, 13.1984103 52.5398164, 13.1983647 52.5398726, 13.1982561 52.5400067, 13.1977712 52.5406051, 13.1976956 52.5406878)",Flankenschanze,,50
37,33066932,26759724,26759723,0,tertiary,False,18.199,"LINESTRING (13.1983707 52.5395708, 13.1985125 52.5397099)",Galenstraße,,50
38,33066933,26759724,3882645140,0,tertiary,False,153.232,"LINESTRING (13.1983707 52.5395708, 13.1982662 52.5394682, 13.1981795 52.5393832, 13.1980753 52.539281, 13.1979314 52.5391399, 13.1976884 52.5389013, 13.1976816 52.5388949, 13.1974339 52.5386628, 13.1973966 52.5386278, 13.1973324 52.5385664, 13.1972808 52.5385174, 13.1972523 52.53849, 13.1971625 52.5384051)",Galenstraße,,50
39,"[1327522595, 33066939]",26759724,12282455959,0,tertiary,True,58.815999999999995,"LINESTRING (13.1983707 52.5395708, 13.1985003 52.5394394, 13.1986601 52.5393559, 13.1987309 52.5393149, 13.198821 52.5392706, 13.1989905 52.5392139)",Moritzstraße,,50
40,4804139,26759725,34780709,0,tertiary,False,20.212,"LINESTRING (13.1994324 52.5347761, 13.1996267 52.534638)",Seegefelder Straße,4,50
41,"[28502754, 333500494]",26759725,26759727,0,secondary,True,213.02399999999997,"LINESTRING (13.1994324 52.5347761, 13.1993666 52.5346466, 13.199348 52.53461, 13.1993287 52.5345721, 13.1988997 52.5337684, 13.1988258 52.5336536, 13.1987255 52.5334979, 13.1986321 52.5333657, 13.198472 52.5331393, 13.1984463 52.533105, 13.1984016 52.5330499, 13.1983528 52.5329786)",Klosterstraße,"['5', '4']",50
42,"[30718922, 1184378029, 462582767, 1077137263, 468161713, 1133398511, 30718931, 328440055]",26759725,6169025779,0,tertiary,False,291.833,"LINESTRING (13.1994324 52.5347761, 13.1993491 52.5348026, 13.1992636 52.5348175, 13.1991865 52.5348309, 13.1987331 52.5349028, 13.1986936 52.5349088, 13.1984324 52.5349438, 13.1981615 52.534979, 13.1978981 52.5350132, 13.1975093 52.5350645, 13.1972017 52.535113, 13.1969024 52.5351693, 13.1966086 52.5352283, 13.1960625 52.5353408, 13.1955583 52.5354457, 13.1954961 52.5354584, 13.1953961 52.5354788, 13.1952922 52.5355001)",Seegefelder Straße,"['5', '4']","['30', '50']"
43,5363261,26759727,26759728,0,secondary,True,12.029,"LINESTRING (13.1983528 52.5329786, 13.1982642 52.5328848)",Klosterstraße,4,50
44,"[1125226808, 1125226810, 4804140]",26759727,4457467986,0,secondary,True,200.447,"LINESTRING (13.1983528 52.5329786, 13.1982026 52.5330076, 13.1981128 52.5330247, 13.1977694 52.5330932, 13.1972424 52.533199, 13.1970175 52.5332398, 13.1958634 52.5334713, 13.1956687 52.5335104, 13.195576 52.5335289, 13.1955353 52.5335371)",Brunsbütteler Damm,2,50
