osmid,y,x,street_count,highway,geometry
26759389,52.5385729,13.2129683,3,,POINT (13.2129683 52.5385729)
26759506,52.5395951,13.2126997,1,,POINT (13.2126997 52.5395951)
26759638,52.538886,13.2075873,3,,POINT (13.2075873 52.538886)
26759652,52.5387783,13.2074854,4,,POINT (13.2074854 52.5387783)
26759655,52.5394978,13.2055228,3,,POINT (13.2055228 52.5394978)
26759657,52.5399455,13.2034686,3,,POINT (13.2034686 52.5399455)
26759659,52.5404486,13.2040976,3,,POINT (13.2040976 52.5404486)
26759661,52.540821,13.2034366,3,,POINT (13.2034366 52.540821)
26759663,52.5408221,13.2032322,3,,POINT (13.2032322 52.5408221)
26759664,52.5404391,13.2025735,3,,POINT (13.2025735 52.5404391)
26759665,52.5402872,13.2025899,3,,POINT (13.2025899 52.5402872)
26759668,52.5399421,13.2032471,3,,POINT (13.2032471 52.5399421)
26759676,52.539601,13.2056318,4,,POINT (13.2056318 52.539601)
26759691,52.5416308,13.2056855,3,,POINT (13.2056855 52.5416308)
26759692,52.5417253,13.20548,4,,POINT (13.20548 52.5417253)
26759713,52.5386435,13.2006199,4,,POINT (13.2006199 52.5386435)
26759714,52.5385852,13.2008012,4,,POINT (13.2008012 52.5385852)
26759723,52.5397099,13.1985125,4,,POINT (13.1985125 52.5397099)
26759724,52.5395708,13.1983707,4,,POINT (13.1983707 52.5395708)
26759725,52.5347761,13.1994324,4,,POINT (13.1994324 52.5347761)
26759727,52.5329786,13.1983528,4,,POINT (13.1983528 52.5329786)
26759728,52.5328848,13.1982642,4,,POINT (13.1982642 52.5328848)
26759729,52.5328452,13.1985036,4,,POINT (13.1985036 52.5328452)
26759730,52.5329302,13.1985871,4,,POINT (13.1985871 52.5329302)
26759732,52.5327226,13.1994465,3,,POINT (13.1994465 52.5327226)
26759737,52.5337409,13.1945193,4,,POINT (13.1945193 52.5337409)
26759739,52.5336448,13.1944715,3,,POINT (13.1944715 52.5336448)
26759741,52.5339992,13.1927414,3,,POINT (13.1927414 52.5339992)
26759745,52.5337696,13.1938624,3,,POINT (13.1938624 52.5337696)
26759748,52.533441,13.1954841,4,,POINT (13.1954841 52.533441)
26759849,52.5281154,13.1951109,3,,POINT (13.1951109 52.5281154)
26759869,52.5292048,13.1955517,4,,POINT (13.1955517 52.5292048)
26759883,52.5280994,13.1954509,3,,POINT (13.1954509 52.5280994)
26759908,52.5304693,13.1963433,3,,POINT (13.1963433 52.5304693)
27239420,52.5253342,13.1379134,3,,POINT (13.1379134 52.5253342)
27239422,52.526337,13.1331858,4,,POINT (13.1331858 52.526337)
27239423,52.5271913,13.1291769,4,,POINT (13.1291769 52.5271913)
27239426,52.5289991,13.1190977,3,,POINT (13.1190977 52.5289991)
27239443,52.5290723,13.114112,3,,POINT (13.114112 52.5290723)
27323496,52.5287711,13.1286161,3,,POINT (13.1286161 52.5287711)
27323504,52.5286453,13.1331585,4,,POINT (13.1331585 52.5286453)
27323505,52.5286344,13.1335452,3,,POINT (13.1335452 52.5286344)
27323529,52.5284335,13.1233266,3,,POINT (13.1233266 52.5284335)
27323530,52.528663,13.122378,4,,POINT (13.122378 52.528663)
27323706,52.538045,13.142291,3,,POINT (13.142291 52.538045)
27586465,52.5273907,13.2116582,4,,POINT (13.2116582 52.5273907)
27586466,52.5272783,13.2115245,4,,POINT (13.2115245 52.5272783)
27586468,52.5274352,13.2114811,4,,POINT (13.2114811 52.5274352)
27586470,52.5273301,13.2113146,4,,POINT (13.2113146 52.5273301)
27586483,52.5284502,13.2084169,3,,POINT (13.2084169 52.5284502)
27586485,52.5285213,13.2079179,3,,POINT (13.2079179 52.5285213)
27586488,52.5288578,13.2074663,4,,POINT (13.2074663 52.5288578)
27586490,52.5287726,13.2073552,3,,POINT (13.2073552 52.5287726)
27586497,52.5301834,13.2048593,4,,POINT (13.2048593 52.5301834)
27586500,52.5301398,13.2046539,4,,POINT (13.2046539 52.5301398)
27586505,52.5302406,13.2047479,4,,POINT (13.2047479 52.5302406)
27586594,52.5290831,13.2091759,3,,POINT (13.2091759 52.5290831)
27586619,52.5280039,13.2118657,4,,POINT (13.2118657 52.5280039)
27586624,52.5276658,13.2117522,3,,POINT (13.2117522 52.5276658)
28382974,52.5438983,13.204323,3,,POINT (13.204323 52.5438983)
28465560,52.5250225,13.1952829,3,,POINT (13.1952829 52.5250225)
28465562,52.5242004,13.1949687,4,,POINT (13.1949687 52.5242004)
28465576,52.5236152,13.1965205,4,,POINT (13.1965205 52.5236152)
28465580,52.5241652,13.20068,3,,POINT (13.20068 52.5241652)
28465625,52.524597,13.2051072,3,,POINT (13.2051072 52.524597)
28466055,52.5236724,13.2027204,3,,POINT (13.2027204 52.5236724)
28466064,52.524307,13.2014283,3,,POINT (13.2014283 52.524307)
28472252,52.5236383,13.1976057,4,,POINT (13.1976057 52.5236383)
28472253,52.524255,13.1975103,3,,POINT (13.1975103 52.524255)
28472261,52.5277561,13.1956378,3,,POINT (13.1956378 52.5277561)
28472263,52.5273217,13.1958839,3,,POINT (13.1958839 52.5273217)
28472268,52.5242062,13.192619,3,,POINT (13.192619 52.5242062)
28472271,52.5254282,13.1939535,4,,POINT (13.1939535 52.5254282)
28472284,52.529177,13.1957713,3,,POINT (13.1957713 52.529177)
28472292,52.5313196,13.1970678,3,,POINT (13.1970678 52.5313196)
28476805,52.5274513,13.1966828,4,,POINT (13.1966828 52.5274513)
28476901,52.5242364,13.1966347,4,,POINT (13.1966347 52.5242364)
28932266,52.5254927,13.1937338,3,,POINT (13.1937338 52.5254927)
29175410,52.5240889,13.1929927,3,,POINT (13.1929927 52.5240889)
29175411,52.5237982,13.1928241,1,,POINT (13.1928241 52.5237982)
29175415,52.5264533,13.2078645,4,,POINT (13.2078645 52.5264533)
29175416,52.5267956,13.2085254,3,,POINT (13.2085254 52.5267956)
29175418,52.5270499,13.2105205,3,,POINT (13.2105205 52.5270499)
30784086,52.542919,13.1985978,4,,POINT (13.1985978 52.542919)
30784114,52.5428206,13.1984378,4,,POINT (13.1984378 52.5428206)
30784123,52.5450663,13.19515,3,,POINT (13.19515 52.5450663)
30784131,52.5449617,13.1950051,4,,POINT (13.1950051 52.5449617)
30784163,52.5454836,13.1946587,3,,POINT (13.1946587 52.5454836)
30784200,52.5459331,13.1943898,3,,POINT (13.1943898 52.5459331)
30784310,52.544866,13.2001098,4,,POINT (13.2001098 52.544866)
30784312,52.5459547,13.2005958,3,,POINT (13.2005958 52.5459547)
30784327,52.5436538,13.1995146,3,,POINT (13.1995146 52.5436538)
30784330,52.5465655,13.2023213,3,,POINT (13.2023213 52.5465655)
30784337,52.54587,13.2007962,3,,POINT (13.2007962 52.54587)
30784340,52.5470206,13.2019024,3,,POINT (13.2019024 52.5470206)
30784343,52.5477422,13.2012969,3,,POINT (13.2012969 52.5477422)
30784348,52.5486613,13.2007695,3,,POINT (13.2007695 52.5486613)
30784373,52.54847,13.2008228,3,,POINT (13.2008228 52.54847)
30784390,52.5461958,13.2000211,3,,POINT (13.2000211 52.5461958)
30784394,52.5462474,13.1998871,3,,POINT (13.1998871 52.5462474)
30784396,52.5471309,13.1978113,4,,POINT (13.1978113 52.5471309)
30784397,52.548461,13.1983969,4,,POINT (13.1983969 52.548461)
30784399,52.5493959,13.2005629,3,,POINT (13.2005629 52.5493959)
30784404,52.548597,13.1999424,3,,POINT (13.1999424 52.548597)
30784408,52.5479145,13.1959423,4,,POINT (13.1959423 52.5479145)
